Bronze
35.705
37.61
38.465
20.485
15.99
15.76
12.075
14.285
13.135
10.52
10.53
8.055
6.2
9.63
7.79
4.455
8.745
8.35
7.075
4.865
6.35
7.585
6.42
2.95
3.95
1.94
3.83
2.9
4.97
3.405
2.655
3.245
5.54
2.235
3.375
6.205
6.02
1.43
2.68
1.25
3.785
3.25
1.725
2.04
1.59
1.435
0.865
1.83
1.09
0.655
1.22
1.375
2.1
1.245
2.2
0.845
0.54
1.36
1.08
1.115
1.57
1.39
1.865
1.95
1.465
1.205
1.77
1.1
1.655
1.86
1.87
1.235
1.645
2.225
2.145
2.035
4.155
2.1
2.655
2.715
2.555
1.175
2.525
1.205
1.455
0.9
1.105
2.055
0.59
0.825
0.5
1.86
1.04
1.585
1.795
1.965
1.525
1.92
1.295
1.005
1.145
1.51
1.885
1.175
1.755
1.985
0.985
1.295
1.235
